"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-129559250","-214245682.638889","-445631021.254785","-536868690.108658","-641500248.798067","-641619876.597845","-517560894.321732","-531776959.196634","-521259827.233028","-459464455.002652","-547927151.231746","-645186306.791906","-782593642.472682","-1035254569.32817","-1906845403.33537","-3127485895.91526","-2366282262.46614","-2326489846.17148","-2175629987.68525","-2214007063.77409","-2321776645.52881","-2168908139.47845","-1281494851.04737","-905845561.903669","-1243550763.88083","-1752742382.16506","-1817137352.7757","-1257660276.69422","-1115247228.47482","-147212952.408261","-193722388.301359",
"American Samoa","ASM","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-12200000","-7000000","-27800000","-27700000","-41100000","-47300000","-18700000","-13500000","-34600000","-87644444.4444444","-76159259.2592593","-18274074.0740741","-47974074.0740741","4740740.74074072","-25925.9259259403","20914814.8148148","40666666.6666666","14533333.3333333","-37318518.5185185","-64844444.4444445","-34999999.9999999","-24022222.2222222","-56490324.8148147","-6012592.96370292","-13552876.9937655","-3034962.39267373","1525354.22178453","20885677.5701808","-29047582.4859741","-152230004.995011","-298009513.252515","-208280062.838722","-62613571.441963","-23228841.8088","51553067.5686629","21514922.5921704","1808195.20323342","102251479.635163","162974827.103107","119501331.857293","17926577.9791885","-96960107.3873333","12635215.1933751","-156384864.910251","-167083972.695271","-123031097.777778","-83379451.4814816",
"Australia","AUS","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7654223703.63626","-3259469531.92839","956062277.31035","-595971586.92051","-1312259379.40025","-4713416475.31885","-5240428241.26407","-533267382.68758","1646368836.22285","-6467569673.68318","-10082425326.5389","-4278715479.84175","2098010276.45843","-4719220380.96603","-14416671532.8361","-19188702454.739","-14812982446.7779","-12739769551.3515","-22880495663.2295","-12412041447.686","-8697603424.73465","6158981327.83955","13301605674.1075","-23803313038.3976","-9157732977.99007","-8402991362.60028","-27644649855.4838","-10793842484.1164","6818631562.39516","15681824135.1759","46469607165.1212","49038246908.3435","89608648117.7713","94028162311.7614","67997427735.2383",
"Austria","AUT","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10094027381.9188","13594759429.9566","18758629627.5828","20361565740.6298","14219475612.9926","12134112745.743","9636411469.57515","9742491014.22152","11561229856.2545","14193852265.852","13558003183.9385","14270103560.1123","12156728045.6645","13361198807.8664","15502338073.3493","14078374655.3192","3788251302.88608","-2519474101.89408","10221561709.0208",
"Azerbaijan","AZE","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-505362000","-985550000","-951065000","-1415241000","-636487000","94589000","238833000","-454039000","-1712980000","-2077108000","1329081000","5821918000","13093253000","20668404000","12972340000","17998383000","21331439000","19292808000","16419226000","12838097000","1583558000","1051820000","2735430000","7703178030.41765","5745749526.72636","-417799456.700004","9062113327.4647","25999657000","10470915000",
"Burundi","BDI","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-112212410.645103","-127308943.522808","-180999564.32775","-144656148.723245","-135460084.033613","-228796850.707885","-218623410.40635","-224685553.713506","-199172089.957987","-170939494.384802","-129557670.940813","-87449352.5940279","-38087890.6203808","-96351255.0272744","-62747787.5124764","-97459551.7155253","-102096055.494448","-108960828.150083","-130484103.37884","-167796711.78127","-227398384.118993","-353763311.310568","-346620952.658039","-441272619.548802","-401314957.509576","-426014308.367945","-529656985.319385","-701167872.395645","-692692720.521686","-716976390.368953","-667274263.667495","-546564205.042517","-610565662.043586","-604282176.760059","-716523718.865391","-754497655.865512","-863533501.280828","-1086244584.16618","-1054714258.17668",
"Belgium","BEL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11486152063.3972","10699409811.9195","12289290919.4444","8640514958.88791","9137273954.1724","6389429629.91387","-6650395742.44394","5467491069.59099","5149628648.6292","-5407721282.72453","-5232743023.66307","-272882804.5013","795668538.63","6502990902.5913","5685017502.0098","5262605954.4028","-1650684747.967","2506542714.6913","7602144462.6946","11377868174.4586","-7959654595.2787","-3916912629.7933",
"Benin","BEN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","-73899688.6706192","-119288199.447148","-152855929.894744","-165170350.740429","-206021682.538179","-207604638.226326","-194590526.846302","-214619984.004976","-464769001.641305","-196320303.9044","-102579966.183068","-102167335.858185","-141204638.725731","-145406600.950012","-153359318.98824","-81247729.4214813","-90092810.6946715","-343430086.16516","-245575041.673662","-196400598.194143","-92834949.7100856","-280430214.213829","-94660482.747005","-209202342.599654","-207407122.539361","-252271524.301984","-179800852.890672","-224504079.563759","-289044784.417195","-360314549.72843","-345598627.142502","-372865589.105196","-445824226.265186","-755034562.024593","-772629973.066785","-791331499.717445","-632495208.400363","-643106427.180873","-710646157.284974","-858674454.319657","-1118728506.04463","-756800485.387488","-526019054.88671","-703516906.141111","-821046408.892629","-721667297.10396","-435724020.28352","-771728221.053792","-1024472573.58803","",
"Burkina Faso","BFA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-848815365.869129","-783537369.711016","-962174168.309755","-1374291352.15085","-892372674.527804","-668275736.493909","-697939435.893793","-585796272.563169","-1595943794.91939","-1117573282.68797","-1017344551.96401","-796037006.753357","-898228429.050722","-655586698.761392","-555481963.435646","576815704.724121","398785467.835309","-947074533.776167","",
